,aclose
1999-11-12,49.9288
1999-11-19,54.1316
1999-11-26,54.6837
1999-12-03,58.2615
1999-12-10,56.7668
1999-12-17,57.2876
1999-12-23,56.5689
1999-12-31,56.1783
2000-01-07,59.1104
2000-01-14,62.2977
2000-01-21,63.2768
2000-01-28,58.1001
2000-02-04,60.2145
2000-02-11,60.145
2000-02-18,58.6488
2000-02-25,56.3029
2000-03-03,56.3029
2000-03-10,54.8692
2000-03-17,57.3455
2000-03-24,62.8819
2000-03-31,61.709
2000-04-07,64.1853
2000-04-14,54.7389
2000-04-20,54.2176
2000-04-28,58.1275
2000-05-05,56.2351
2000-05-12,54.5114
2000-05-19,55.5553
2000-05-26,55.8163
2000-06-02,56.7923
2000-06-09,62.471
2000-06-16,59.1097
2000-06-23,58.3895
2000-06-30,57.1838
2000-07-07,54.835
2000-07-14,54.2505
2000-07-21,59.8926
2000-07-28,58.3581
2000-08-04,60.4772
2000-08-11,63.0253
2000-08-18,62.9312
2000-08-25,67.4039
2000-09-01,69.8232
2000-09-08,67.6652
2000-09-15,65.3139
2000-09-22,64.7234
2000-09-29,58.8452
2000-10-06,60.6113
2000-10-13,56.9851
2000-10-20,49.5079
2000-10-27,48.9541
2000-11-03,52.3138
2000-11-10,48.6567
2000-11-17,53.334
2000-11-24,52.2876
2000-12-01,50.0275
2000-12-08,50.7495
2000-12-15,45.9413
2000-12-22,46.5639
2000-12-29,44.4712
2001-01-05,49.1799
2001-01-12,49.0805
2001-01-19,58.2049
2001-01-26,59.7431
2001-02-02,57.6922
2001-02-09,58.6625
2001-02-16,60.2338
2001-02-23,54.4723
2001-03-02,53.5819
2001-03-09,52.0053
2001-03-16,47.1919
2001-03-23,48.9779
2001-03-30,50.3764
2001-04-06,51.3035
2001-04-12,50.3869
2001-04-20,60.1447
2001-04-27,60.8623
2001-05-04,60.6842
2001-05-11,58.6326
2001-05-18,61.585
2001-05-25,61.7737
2001-06-01,59.199
2001-06-08,60.8823
2001-06-15,59.5713
2001-06-22,59.1885
2001-06-29,59.5188
2001-07-06,55.8481
2001-07-13,56.9126
2001-07-20,55.4286
2001-07-27,54.9042
2001-08-03,56.7291
2001-08-10,55.1092
2001-08-17,54.9202
2001-08-24,56.1804
2001-08-31,52.4837
2001-09-07,50.7194
2001-09-10,50.6564
2001-09-21,47.5215
2001-09-28,48.1621
2001-10-05,51.4703
2001-10-12,52.9511
2001-10-19,53.9015
2001-10-26,58.3701
2001-11-02,57.4984
2001-11-09,59.977
2001-11-16,60.1979
2001-11-23,60.6447
2001-11-30,60.7709
2001-12-07,63.2998
2001-12-14,63.6678
2001-12-21,64.1409
2001-12-28,64.6141
2002-01-04,66.0336
2002-01-11,63.2524
2002-01-18,60.0664
2002-01-25,57.4535
2002-02-01,56.7805
2002-02-08,55.2705
2002-02-15,54.165
2002-02-22,51.8276
2002-03-01,54.2334
2002-03-08,55.3231
2002-03-15,56.2181
2002-03-22,55.5916
2002-03-28,54.7493
2002-04-05,51.1959
2002-04-12,45.0629
2002-04-19,46.8528
2002-04-26,44.5944
2002-05-03,43.0519
2002-05-10,42.0227
2002-05-17,45.1923
2002-05-24,43.8264
2002-05-31,42.4288
2002-06-07,41.2949
2002-06-14,40.1716
2002-06-21,36.2583
2002-06-28,37.9723
2002-07-05,38.7634
2002-07-12,36.5009
2002-07-19,37.9723
2002-07-26,35.0189
2002-08-02,35.7995
2002-08-09,37.9648
2002-08-16,41.9394
2002-08-23,42.4944
2002-08-30,39.8411
2002-09-06,38.6889
2002-09-13,38.3189
2002-09-20,33.7841
2002-09-27,31.9025
2002-10-04,29.9152
2002-10-11,33.7841
2002-10-18,39.2439
2002-10-25,39.4077
2002-11-01,42.4944
2002-11-08,41.0846
2002-11-15,42.3661
2002-11-22,44.7065
2002-11-29,46.025
2002-12-06,43.5892
2002-12-13,42.3608
2002-12-20,42.2496
2002-12-27,40.9629
2003-01-03,43.2344
2003-01-10,46.4274
2003-01-17,43.0491
2003-01-24,41.826
2003-01-31,41.4076
2003-02-07,40.9042
2003-02-14,41.0899
2003-02-21,42.4162
2003-02-28,41.3551
2003-03-07,41.3286
2003-03-14,41.9122
2003-03-21,45.0424
2003-03-28,42.8937
2003-04-04,42.8619
2003-04-11,41.7796
2003-04-17,44.7028
2003-04-25,44.5012
2003-05-02,46.4589
2003-05-09,46.534
2003-05-16,47.2994
2003-05-23,45.3168
2003-05-30,46.7944
2003-06-06,42.5477
2003-06-13,43.9827
2003-06-20,45.1361
2003-06-27,44.3389
2003-07-03,44.6206
2003-07-11,45.1202
2003-07-18,44.4983
2003-07-25,44.4079
2003-08-01,43.1961
2003-08-08,43.0751
2003-08-15,43.5597
2003-08-22,44.1881
2003-08-29,43.6769
2003-09-05,46.3078
2003-09-12,47.2398
2003-09-19,49.679
2003-09-26,47.4262
2003-10-03,48.273
2003-10-10,49.3542
2003-10-17,47.5221
2003-10-24,47.0907
2003-10-31,47.6552
2003-11-07,47.0897
2003-11-14,48.1514
2003-11-21,47.2871
2003-11-28,48.3061
2003-12-05,48.3595
2003-12-12,49.4639
2003-12-19,49.6933
2003-12-26,49.5653
2004-01-02,48.845
2004-01-09,48.6636
2004-01-16,50.8564
2004-01-23,52.2329
2004-01-30,52.9425
2004-02-06,52.8732
2004-02-13,53.2847
2004-02-20,52.0021
2004-02-27,51.5693
2004-03-05,51.5425
2004-03-12,49.8592
2004-03-19,48.9614
2004-03-26,49.576
2004-04-02,50.3401
2004-04-08,49.763
2004-04-16,49.3141
2004-04-23,48.7797
2004-04-30,47.1177
2004-05-07,47.2244
2004-05-14,46.2713
2004-05-21,46.6568
2004-05-28,47.4386
2004-06-04,46.8871
2004-06-10,48.44
2004-06-18,48.2258
2004-06-25,47.9527
2004-07-02,46.6086
2004-07-09,44.9218
2004-07-16,45.1307
2004-07-23,45.4359
2004-07-30,46.6247
2004-08-06,44.7987
2004-08-13,45.0294
2004-08-20,45.7485
2004-08-27,45.5822
2004-09-03,45.287
2004-09-10,46.5589
2004-09-17,46.0115
2004-09-24,45.3085
2004-10-01,46.5374
2004-10-08,46.532
2004-10-15,45.5339
2004-10-22,46.8969
2004-10-29,48.1634
2004-11-05,50.0577
2004-11-12,51.2511
2004-11-19,50.7833
2004-11-26,50.9285
2004-12-03,52.1974
2004-12-10,51.977
2004-12-17,51.7243
2004-12-23,52.5415
2004-12-31,53.0039
2005-01-07,51.4984
2005-01-14,50.5951
2005-01-21,49.6703
2005-01-28,49.9446
2005-02-04,50.8156
2005-02-11,50.2609
2005-02-18,50.2448
2005-02-25,49.9916
2005-03-04,49.7599
2005-03-11,49.2967
2005-03-18,48.0953
2005-03-24,48.8603
2005-04-01,48.7202
2005-04-08,47.1903
2005-04-15,41.3185
2005-04-22,39.9771
2005-04-29,41.1461
2005-05-06,40.6505
2005-05-13,39.5162
