,volume
2010-01-08,28639800
2010-01-15,35873500
2010-01-22,48810900
2010-01-29,42786400
2010-02-05,35063800
2010-02-12,30088800
2010-02-19,24433700
2010-02-26,23624900
2010-03-05,29153500
2010-03-12,33736000
2010-03-19,32679700
2010-03-26,31453700
2010-04-01,17954900
2010-04-09,24394000
2010-04-16,35328700
2010-04-23,46345200
2010-04-30,35378000
2010-05-07,43103500
2010-05-14,52007600
2010-05-21,52738700
2010-05-28,40594400
2010-06-04,31155200
2010-06-11,36446000
2010-06-18,34958900
2010-06-25,35729700
2010-07-02,39925900
2010-07-09,22776300
2010-07-16,30691500
2010-07-23,45328500
2010-07-30,29087100
2010-08-06,26753600
2010-08-13,27721100
2010-08-20,24839400
2010-08-27,28851700
2010-09-03,25097500
2010-09-10,16686200
2010-09-17,29966700
2010-09-24,28357000
2010-10-01,30834900
2010-10-08,26027000
2010-10-15,31299400
2010-10-22,41753800
2010-10-29,32583300
2010-11-05,27101400
2010-11-12,24816000
2010-11-19,24207800
2010-11-26,15256400
2010-12-03,28622500
2010-12-10,21020900
2010-12-17,28194800
2010-12-23,13585400
2010-12-31,14684300
2011-01-07,23486200
2011-01-14,19878500
2011-01-21,35766800
2011-01-28,32502900
2011-02-04,25371100
2011-02-11,26097300
2011-02-18,18590000
2011-02-25,21433300
2011-03-04,21537300
2011-03-11,31095800
2011-03-18,41798000
2011-03-25,25371800
2011-04-01,19066300
2011-04-08,17602700
2011-04-15,22168000
2011-04-21,29758000
2011-04-29,26858900
2011-05-06,29465600
2011-05-13,23498700
2011-05-20,25997900
2011-05-27,22718600
2011-06-03,23342600
2011-06-10,20640600
2011-06-17,29385600
2011-06-24,22978000
2011-07-01,23400700
2011-07-08,20777900
2011-07-15,23838300
2011-07-22,37500900
2011-07-29,26294400
2011-08-05,41229200
2011-08-12,56678700
2011-08-19,47511700
2011-08-26,33789200
2011-09-02,26288300
2011-09-09,25328900
2011-09-16,33464200
2011-09-23,31790500
2011-09-30,36868400
2011-10-07,38117800
2011-10-14,26220900
2011-10-21,46796000
2011-10-28,28719000
2011-11-04,22918900
2011-11-11,20903100
2011-11-18,25522100
2011-11-25,16357400
2011-12-02,25843600
2011-12-09,24142900
2011-12-16,30186100
2011-12-23,27166800
2011-12-30,12119700
2012-01-06,19352900
2012-01-13,26633200
2012-01-20,32020900
2012-01-27,22822200
2012-02-03,22703600
2012-02-10,18144100
2012-02-17,17149800
2012-02-24,17955300
2012-03-02,19330600
2012-03-09,21823600
2012-03-16,25846100
2012-03-23,17132200
2012-03-30,16007300
2012-04-05,15692400
2012-04-13,17522600
2012-04-20,30566700
2012-04-27,20048100
2012-05-04,14699600
2012-05-11,17219400
2012-05-18,22381000
2012-05-25,17970000
2012-06-01,21714900
2012-06-08,18002600
2012-06-15,19518700
2012-06-22,23194300
2012-06-29,18637100
2012-07-06,11920500
2012-07-13,22998800
2012-07-20,31507600
2012-07-27,18795600
2012-08-03,14944000
2012-08-10,12376100
2012-08-17,12373700
2012-08-24,14140300
2012-08-31,13113600
2012-09-07,15172300
2012-09-14,19339300
2012-09-21,24867400
2012-09-28,17962400
2012-10-05,17786100
2012-10-12,15209500
2012-10-19,37283100
2012-10-26,19824000
2012-11-02,14071200
2012-11-09,17977200
2012-11-16,18951000
2012-11-23,15826300
2012-11-30,21119100
2012-12-07,18850300
2012-12-14,19274500
2012-12-21,24598600
2012-12-28,11911900
2013-01-04,15943900
2013-01-11,16589700
2013-01-18,19748400
2013-01-25,27508900
2013-02-01,15901300
2013-02-08,16419900
2013-02-15,14498300
2013-02-22,13744500
2013-03-01,19419000
2013-03-08,18680900
2013-03-15,23433000
2013-03-22,18085500
2013-03-28,12516100
2013-04-05,16247600
2013-04-12,15273700
2013-04-19,35696400
2013-04-26,27976600
2013-05-03,26809200
2013-05-10,18700700
2013-05-17,21587300
2013-05-24,20259100
2013-05-31,16799600
2013-06-07,17768500
2013-06-14,14580500
2013-06-21,22773400
2013-06-28,25092600
2013-07-05,12378100
2013-07-12,20715900
2013-07-19,31679400
2013-07-26,14719100
2013-08-02,15338600
2013-08-09,20128300
2013-08-16,16580500
2013-08-23,14564700
2013-08-30,15052200
2013-09-06,11856200
2013-09-13,18194900
2013-09-20,22379100
2013-09-27,15079700
2013-10-04,16351900
2013-10-11,20859700
2013-10-18,45663100
2013-10-25,29861500
2013-11-01,25853600
2013-11-08,25635300
2013-11-15,25682800
2013-11-22,25637400
2013-11-29,20384900
2013-12-06,24816100
2013-12-13,21870800
2013-12-20,32267100
2013-12-27,12400800
2014-01-03,15248000
2014-01-10,22947500
2014-01-17,27635300
2014-01-24,38736900
2014-01-31,25559900
2014-02-07,25234000
2014-02-14,21312600
2014-02-21,19774200
2014-02-28,20734000
2014-03-07,20103400
2014-03-14,24057200
2014-03-21,30821100
2014-03-28,35465000
2014-04-04,29036500
2014-04-11,30598500
2014-04-17,30565200
2014-04-25,22312800
2014-05-02,21195300
2014-05-09,13925300
2014-05-16,19407200
2014-05-23,14066100
2014-05-30,15895800
2014-06-06,14243300
2014-06-13,18143900
2014-06-20,24186800
2014-06-27,17703900
2014-07-03,18382300
2014-07-11,14983700
2014-07-18,34217100
2014-07-25,19580700
2014-08-01,19838900
2014-08-08,14770900
2014-08-15,10927100
2014-08-22,11074800
2014-08-29,11487700
2014-09-05,9627700
2014-09-12,12878100
2014-09-19,20044000
2014-09-26,16209901
2014-10-03,14352364
2014-10-10,15795271
2014-10-17,24355568
2014-10-24,69701346
2014-10-31,27342119
2014-11-07,20603321
2014-11-14,20088151
2014-11-21,22273217
2014-11-28,17053892
2014-12-05,20945441
2014-12-12,23397756
2014-12-19,34588770
2014-12-26,12508916
2015-01-02,15698987
2015-01-09,24440360
2015-01-16,23272056
2015-01-23,31230797
2015-01-30,32927307
2015-02-06,22439830
2015-02-13,18164756
2015-02-20,14108892
2015-02-27,22941227
2015-03-06,21117049
2015-03-13,26135448
2015-03-20,25684872
2015-03-27,23569213
2015-04-02,16765545
2015-04-10,13917063
2015-04-17,17532781
2015-04-24,35436301
2015-05-01,21874751
2015-05-08,16793441
2015-05-15,13435074
2015-05-22,11939607
2015-05-29,12435919
2015-06-05,13868111
2015-06-12,18364270
2015-06-19,20761376
2015-06-26,20939777
2015-07-02,12979210
2015-07-10,18143986
2015-07-17,17138495
2015-07-24,37075256
2015-07-31,15380412
2015-08-07,20138504
2015-08-14,17165086
2015-08-21,19846207
2015-08-28,32508092
2015-09-04,21421138
2015-09-11,13916382
2015-09-18,20721826
2015-09-25,16815584
2015-10-02,19914471
2015-10-09,19465122
2015-10-16,17455488
2015-10-23,42068316
2015-10-30,34698762
2015-11-06,21526383
2015-11-13,25069755
2015-11-20,21083793
2015-11-27,13199481
2015-12-04,22935841
2015-12-11,21354563
2015-12-18,27823388
2015-12-24,16540309
2015-12-31,13538507
2016-01-08,25251873
2016-01-15,29470082
2016-01-22,44203492
2016-01-29,27278749
2016-02-05,25527891
2016-02-12,32025579
2016-02-19,23958762
2016-02-26,20763400
2016-03-04,22557187
2016-03-11,23556160
2016-03-18,29886417
2016-03-24,17611709
2016-04-01,20439783
2016-04-08,18417556
2016-04-15,17443203
2016-04-22,37688644
2016-04-29,16956550
2016-05-06,21059912
2016-05-13,17034303
2016-05-20,16406443
2016-05-27,14910875
2016-06-03,13470239
2016-06-10,14920842
2016-06-17,15849580
2016-06-24,22214411
2016-07-01,19155814
2016-07-08,10213227
2016-07-15,18535456
2016-07-22,24775973
2016-07-29,13747991
2016-08-05,15067283
2016-08-12,19554950
2016-08-19,14873739
2016-08-26,13571765
2016-09-02,11286596
2016-09-09,15009419
2016-09-16,21990587
2016-09-23,12476162
2016-09-30,15801644
2016-10-07,11417766
2016-10-14,15614452
2016-10-21,31731091
2016-10-28,16009359
2016-11-04,15168515
2016-11-11,25292112
2016-11-18,16168917
2016-11-25,11269212
2016-12-02,19370850
2016-12-09,17154330
2016-12-16,23953742
2016-12-23,13209502
2016-12-30,7770697
2017-01-06,11943248
2017-01-13,16710843
2017-01-20,26891514
2017-01-27,24898161
2017-02-03,16952754
2017-02-10,15458288
2017-02-17,15587334
2017-02-24,13082284
2017-03-03,14713309
2017-03-10,18283618
2017-03-17,20678038
2017-03-24,16816026
2017-03-31,15949938
2017-04-07,20657952
2017-04-13,15162492
2017-04-21,22353091
2017-04-28,22585454
2017-05-05,28746997
2017-05-12,28432713
2017-05-19,23606431
2017-05-26,14563625
2017-06-02,13583558
2017-06-09,20653101
2017-06-16,23761609
2017-06-23,18294998
2017-06-30,13465670
2017-07-07,11462576
2017-07-14,15015697
2017-07-21,39223438
2017-07-28,21206630
2017-08-04,16503121
2017-08-11,18161288
2017-08-18,18585485
2017-08-25,15927109
2017-09-01,17765494
2017-09-08,13803467
2017-09-15,24882951
2017-09-22,16890140
2017-09-29,18131168
2017-10-06,12252293
2017-10-13,16128636
2017-10-20,56148944
2017-10-27,28529638
2017-11-03,19467703
2017-11-10,21891991
2017-11-17,23731918
2017-11-24,13728716
2017-12-01,24386604
2017-12-08,20236835
2017-12-15,31101402
2017-12-22,20045931
2017-12-29,10573732
2018-01-05,26160206
2018-01-12,22376145
2018-01-19,51246304
2018-01-26,28170112
2018-02-02,21842492
2018-02-09,38856237
2018-02-16,25701914
2018-02-23,14987102
2018-03-02,18831762
2018-03-09,22842811
2018-03-16,25076217
2018-03-23,21959274
2018-03-29,14934365
2018-04-06,20949699
2018-04-13,21372171
2018-04-20,51127683
2018-04-27,25028049
2018-05-04,23464605
2018-05-11,20021856
2018-05-18,16304020
2018-05-25,16951460
2018-06-01,20343954
2018-06-08,18618365
2018-06-15,21311072
2018-06-22,21004666
