,dividend
2010-01-01,0.55
2010-04-01,0.65
2010-07-01,0.65
2010-10-01,0.65
2011-01-01,0.65
2011-04-01,0.75
2011-07-01,0.75
2011-10-01,0.75
2012-01-01,0.75
2012-04-01,0.85
2012-07-01,0.85
2012-10-01,0.85
2013-01-01,0.85
2013-04-01,0.95
2013-07-01,0.95
2013-10-01,0.95
2014-01-01,0.95
2014-04-01,1.1
2014-07-01,1.1
2014-10-01,1.1
2015-01-01,1.1
2015-04-01,1.3
2015-07-01,1.3
2015-10-01,1.3
2016-01-01,1.3
2016-04-01,1.4
2016-07-01,1.4
2016-10-01,1.4
2017-01-01,1.4
2017-04-01,1.5
2017-07-01,1.5
2017-10-01,1.5
2018-01-01,1.5
2018-04-01,1.57
2018-07-01,1.57
2018-10-01,1.57
2019-01-01,1.57
2019-04-01,1.62
2019-07-01,1.62
2019-10-01,1.62
2020-01-01,1.62
2020-04-01,1.63
2020-07-01,1.63
2020-10-01,1.63
2021-01-01,1.63
2021-04-01,1.64
2021-07-01,1.64
2021-10-01,1.64
2022-01-01,1.64
2022-04-01,1.65
2022-07-01,1.65
2022-10-01,1.65
2023-01-01,1.65
2023-04-01,1.66
2023-07-01,1.66
2023-10-01,1.66
